Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
/home/cashen563/.local/lib/python3.6/site-packages/pytest_cov/plugin.py	203	174	0	14%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/__init__.py	1	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/common/__init__.py	1	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/common/exceptions.py	84	15	0	82%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/__init__.py	21	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/android/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/android/webdriver.py	5	1	0	80%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/blackberry/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/blackberry/webdriver.py	41	29	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/chrome/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/chrome/options.py	78	27	0	65%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/chrome/remote_connection.py	8	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/chrome/service.py	9	1	0	89%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/chrome/webdriver.py	40	13	0	68%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/action_chains.py	128	102	0	20%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/action_builder.py	49	31	0	37%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/input_device.py	13	7	0	46%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/interaction.py	19	5	0	74%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/key_actions.py	26	16	0	38%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/key_input.py	23	11	0	52%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/mouse_button.py	4	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/pointer_actions.py	66	47	0	29%
